pdgid,particle
998100,\left[\pi^{+}\pi^{-}\right]^{L=0}_{0}
998101,\left[\pi^{+}\pi^{-}\right]^{L=0}_{1}
998102,\left[\pi^{+}\pi^{-}\right]^{L=0}_{2}
998103,\left[\pi^{+}\pi^{-}\right]^{L=0}_{3}
998104,\left[\pi^{+}\pi^{-}\right]^{L=0}_{4}
998105,\left[\pi^{+}\pi^{-}\right]^{L=0}_{5}
998106,\left[\pi^{+}\pi^{-}\right]^{L=0}_{6}
998110,\left[K^{-}\pi^{+}\right]^{L=0}_{0}
998111,\left[K^{-}\pi^{+}\right]^{L=0}_{1}
998112,\left[K^{-}\pi^{+}\right]^{L=0}_{2}
998113,\left[K^{-}\pi^{+}\right]^{L=0}_{3}
998114,\left[K^{-}\pi^{+}\right]^{L=0}_{4}
998115,\left[K^{-}\pi^{+}\right]^{L=0}_{5}
998116,\left[K^{-}\pi^{+}\right]^{L=0}_{6}
